(20, 0, 138695427)
(19, 1, 198635427)
(18, 2, 189635427)
(18, 2, 918635427)
(17, 3, 618935427)
(16, 4, 618435927)
(16, 4, 618395427)
(15, 5, 698315427)
(14, 6, 689315427)
(14, 6, 968315427)
(15, 5, 618359427)
(14, 6, 618357429)
(15, 7, 685319427)
(14, 8, 685317429)
(14, 8, 685391427)
(15, 7, 368915427)
(14, 8, 368415927)
(15, 7, 618357492)
(14, 8, 618357942)
(13, 9, 618957342)
(12, 10, 618597342)
(11, 11, 618547392)
(10, 12, 618547329)
(11, 11, 698517342)
(10, 12, 689517342)
(9, 13, 687519342)
(8, 14, 687591342)
(7, 15, 687541392)
(6, 16, 687541329)
(5, 17, 687549321)
(4, 18, 687594321)
(5, 19, 687524391)
(5, 19, 697584321)
(4, 20, 679584321)
(4, 20, 967584321)
(5, 19, 687954321)
(5, 21, 674589321)
(5, 21, 567984321)
(4, 22, 567894321)
(5, 23, 567824391)
(5, 23, 597864321)
(4, 24, 579864321)
(5, 23, 567849321)
(5, 25, 574869321)
(4, 26, 574896321)
(5, 27, 574826391)
(5, 27, 594876321)
(5, 27, 574986321)
(4, 28, 974586321)
(5, 29, 794586321)
(4, 30, 784596321)
(5, 31, 784526391)
(5, 31, 784569321)
(4, 32, 789564321)
(5, 31, 784956321)
(5, 33, 798564321)
(4, 34, 768594321)
(4, 34, 978564321)
(5, 35, 768524391)
(5, 35, 768549321)
(5, 35, 768954321)
(5, 35, 578964321)
(6, 18, 689547321)
(6, 20, 687524319)
(6, 20, 687524931)
(6, 20, 687354921)
(6, 20, 987654321)
(5, 21, 897654321)
(4, 22, 879654321)
(5, 23, 874659321)
(6, 22, 674581329)
(6, 22, 674598321)
(6, 22, 567384921)
(6, 22, 857694321)
(5, 23, 857964321)
(6, 24, 567824319)
(6, 24, 567824931)
(6, 24, 957864321)
(6, 24, 567841329)
(6, 24, 569847321)
(5, 25, 596847321)
(6, 24, 874651329)
(6, 24, 874695321)
(5, 25, 874965321)
(6, 24, 857364921)
(6, 24, 957864321)
(6, 26, 574861329)
(6, 26, 546897321)
(5, 27, 546879321)
(6, 26, 956847321)
(5, 27, 856947321)
(6, 26, 874365921)
(6, 26, 974865321)
(6, 28, 574826319)
(6, 28, 574826931)
(6, 28, 549876321)
(6, 28, 954876321)
(5, 29, 854976321)
(6, 28, 574386921)
(6, 28, 546871329)
(6, 28, 549876321)
(6, 28, 856347921)
(6, 28, 856497321)
(5, 29, 896457321)
(5, 29, 856479321)
(6, 30, 749586321)
(5, 31, 746589321)
(6, 30, 854376921)
(6, 30, 854796321)
(5, 31, 894756321)
(6, 30, 869457321)
(5, 31, 867459321)
(6, 30, 986457321)
(6, 30, 856471329)
(6, 30, 859476321)
(6, 32, 784526319)
(6, 32, 784526931)
(6, 32, 784561329)
(6, 32, 784356921)
(6, 32, 984756321)
(6, 32, 746581329)
(6, 32, 746598321)
(5, 33, 796548321)
(4, 34, 976548321)
(5, 35, 576948321)
(6, 32, 849756321)
(5, 33, 846759321)
(6, 32, 984756321)
(6, 32, 867451329)
(6, 32, 867495321)
(5, 33, 867945321)
(6, 34, 769548321)
(6, 34, 846751329)
(6, 34, 846795321)
(5, 35, 896745321)
(5, 35, 846975321)
(6, 34, 867345921)
(6, 34, 967845321)
(6, 36, 768524319)
(6, 36, 768524931)
(6, 36, 768541329)
(6, 36, 769548321)
(6, 36, 768354921)
(6, 36, 968754321)
(6, 36, 578364921)
(6, 36, 578694321)
(6, 36, 576348921)
(6, 36, 576498321)
(5, 37, 576489321)
(6, 36, 869745321)
(6, 36, 986745321)
(5, 37, 786945321)
(6, 36, 846375921)
(6, 36, 946875321)
(6, 38, 576481329)
(6, 38, 579486321)
(6, 38, 786345921)
(6, 38, 786495321)
(5, 39, 786459321)
(6, 40, 786451329)
(6, 40, 789456321)
(7, 19, 698547321)
(6, 20, 968547321)
(7, 21, 687529314)
(7, 21, 687924531)
(7, 21, 687354291)
(7, 21, 568947321)
(7, 23, 674581392)
(7, 23, 674528391)
(7, 23, 694578321)
(6, 24, 964578321)
(7, 23, 674958321)
(7, 23, 567384291)
(7, 23, 857624391)
(7, 23, 857649321)
(7, 25, 567829314)
(7, 25, 567924831)
(6, 26, 967524831)
(7, 25, 567841392)
(7, 25, 874651392)
(7, 25, 874625391)
(7, 25, 894675321)
(7, 25, 857364291)
(7, 25, 564978321)
(7, 27, 574861392)
(7, 27, 546827391)
(7, 27, 546987321)
(6, 28, 946587321)
(7, 27, 874365291)
(7, 27, 794865321)
(6, 28, 764895321)
(5, 29, 764859321)
(4, 30, 769854321)
(3, 31, 796854321)
(2, 32, 976854321)
(1, 33, 876954321)
(0, 34, 876594321)
